domain,counts,sample_urls
samuelmerritt.az1.qualtrics.com,4,https://samuelmerritt.az1.qualtrics.com/.../SV|https://samuelmerritt.az1.qualtrics.com/jfe/form/SV_djtgBvo56bSr0Bo
google.com,3,https://www.google.com/search?q=Assembly+Bill+%28AB%29+931&oq=Newsom+Vetoes+CPTA+Prior+Auth+Bill&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgkIAhAhGAoYoAEyCQgDECEYChigATIJCAQQIRgKGKABMgcIBRAhGI8CMgcIBhAhGI8C0gEIOTM1ajBqMTWoAgiwAgHxBXoXYxf437oJ&sourceid=chrome&ie=UTF-8&mstk=AUtExfCXbmUfErPIsV7HkRNxXkEhgDAKYhWK2TY1cYEeMzGJeCOIPrMjpJVjXMEcBw5ayButbzNXgIgTf63lqWgxp2HNGzsI9F34TMBWpk46lnDV_Y3dWX3v0hDVD4kwgDtnTfyYWUinJH8nxCrqoKp8VtV7g2SDufTAZUSRqcGquvuxVYg&csui=3&ved=2ahUKEwicsLOuhpOQAxVkQjABHSbwHQ4QgK4QegQIARAD|https://www.google.com/search?q=California+Physical+Therapy+Association+%28CPTA%29&oq=Newsom+Vetoes+CPTA+Prior+Auth+Bill&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgkIAhAhGAoYoAEyCQgDECEYChigATIJCAQQIRgKGKABMgcIBRAhGI8CMgcIBhAhGI8C0gEIOTM1ajBqMTWoAgiwAgHxBXoXYxf437oJ&sourceid=chrome&ie=UTF-8&mstk=AUtExfCXbmUfErPIsV7HkRNxXkEhgDAKYhWK2TY1cYEeMzGJeCOIPrMjpJVjXMEcBw5ayButbzNXgIgTf63lqWgxp2HNGzsI9F34TMBWpk46lnDV_Y3dWX3v0hDVD4kwgDtnTfyYWUinJH8nxCrqoKp8VtV7g2SDufTAZUSRqcGquvuxVYg&csui=3&ved=2ahUKEwicsLOuhpOQAxVkQjABHSbwHQ4QgK4QegQIARAE|https://www.google.com/search?q=California+Office+of+Health+Care+Affordability+%28OHCA%29&oq=Newsom+Vetoes+CPTA+Prior+Auth+Bill&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgkIAhAhGAoYoAEyCQgDECEYChigATIJCAQQIRgKGKABMgcIBRAhGI8CMgcIBhAhGI8C0gEIOTM1ajBqMTWoAgiwAgHxBXoXYxf437oJ&sourceid=chrome&ie=UTF-8&mstk=AUtExfCXbmUfErPIsV7HkRNxXkEhgDAKYhWK2TY1cYEeMzGJeCOIPrMjpJVjXMEcBw5ayButbzNXgIgTf63lqWgxp2HNGzsI9F34TMBWpk46lnDV_Y3dWX3v0hDVD4kwgDtnTfyYWUinJH8nxCrqoKp8VtV7g2SDufTAZUSRqcGquvuxVYg&csui=3&ved=2ahUKEwicsLOuhpOQAxVkQjABHSbwHQ4QgK4QegQIARAF
adaptiveequipmentcorner.com,3,https://adaptiveequipmentcorner.com/family-caregivers/|https://adaptiveequipmentcorner.com/product/afo-assist
us02web.zoom.us,3,https://us02web.zoom.us/webinar/register/WN_6Y16T2vjTjeCeBBs0pscEQ|https://us02web.zoom.us/webinar/register/WN_6_mUz9L7RMyhkxML76zpDA|https://us02web.zoom.us/j/86326394586?pwd=ZVJ1OXdOUkZ5aGlyTzBLVjUrNXUyZz09
ppsapta.org,3,https://ppsapta.org/join/|https://ppsapta.org/about-private-practice/leadership/Slate-of-Candidate-2022.cfm
neupttech.com,2,https://neupttech.com/hrv
a.co,2,https://a.co/d/ce35LL4|https://a.co/d/hZSy0XH
healingspotpt.com,2,https://healingspotpt.com/hiring/|https://healingspotpt.com
nytimes.com,2,https://www.nytimes.com/2024/04/07/us/health-insurance-medical-bills-takeaways.html|https://www.nytimes.com/2023/04/04/well/move/physical-therapy-injury-treatment.html?smid=nytcore-ios-share&referringSource=articleShare
blooddonor.massgeneral.org,2,https://blooddonor.massgeneral.org/donor/schedules/drive_schedule/6092|https://blooddonor.massgeneral.org/donor/schedules/drive_schedule/6089
op.nysed.gov,2,https://www.op.nysed.gov/title8/regulations-commissioner-education/part-59|https://www.op.nysed.gov/title8/rules-board-regents/part-29
avethanllc.com,2,https://www.avethanllc.com/about-us/
conquerconcussion.com,2,https://conquerconcussion.com/classes/
m.facebook.com,2,https://m.facebook.com/customcarerehab/|https://m.facebook.com/groups/uncagedcliniciangroup/permalink/275559689881937/
efficientherapist.com,1,https://efficientherapist.com/product/dementia-therapy/
momence.com,1,https://momence.com/The-Movement-Creative/Movement-Creative-Coach-Development/116983055
promptemr.com,1,https://www.promptemr.com/campaigns/product/free-predictionhealth
consultqd.clevelandclinic.org,1,https://consultqd.clevelandclinic.org/trial-compares-shockwave-versus-radial-wave-therapy-for-erectile-dysfunction-in-prostate-cancer-survivors
shockwavetherapy.org,1,https://shockwavetherapy.org/wp-content/uploads/2024/01/ISMST-Guidelines-for-ESWT-_-engl-20240103.pdf
web.cvent.com,1,https://web.cvent.com/event/3ec6d74f-b828-483b-ae39-2c0a37787226/websitePage:8c7824ea-808e-4723-8496-195f7370f21d
us02web.zooom.us,1,https://us02web.zooom.us/j/3268446531
us06web.zoom.us,1,https://us06web.zoom.us/webinar/register/WN_GeaFAB6NTseoOJv9fb-Wdg
rxfunction.com,1,https://rxfunction.com/
creativespecialistsintl.com,1,https://www.creativespecialistsintl.com/product-page/adjustable-shelving-unit
theperformancemovement.com,1,https://theperformancemovement.com/
ipta.org,1,https://www.ipta.org/news/651241/New-Changes-Adopted-in-the-Rules-for-Administration-of-the-IL-PT-Act.htm
ilga.gov,1,https://www.ilga.gov/commission/jcar/admincode/068/068013400000850R.html
votervoice.net,1,https://www.votervoice.net/AOTA/Home
asha.org,1,https://www.asha.org/advocacy/takeaction/
uidaho.edu,1,https://www.uidaho.edu/ed/mvsc/academics/at/faculty
meet.jane.app,1,https://meet.jane.app/more-time
jane.app,1,https://jane.app/community
amazon.com,1,https://www.amazon.com/Mount-Computer-Keyboard-Ergonomic-Drawer/dp/B0764PQL7M?ref_=ast_sto_dp
healcerionusa.com,1,https://healcerionusa.com/product/sonon-500l-linear-ultrasound/
aota.org,1,https://www.aota.org/practice/practice-essentials/coding/medicare-fee-schedule-calculator
maps.app.goo.gl,1,https://maps.app.goo.gl/QQ1oMKeQzTe2JWgh6
affiliate-program.amazon.com,1,https://affiliate-program.amazon.com/help/operating/policies
m.me,1,https://m.me/mahyland
api.leadconnectorhq.com,1,https://api.leadconnectorhq.com/widget/booking/FYWtsvC5j16lmvKbDg9H
zetter.com,1,https://zetter.com/practice-management-services/credentialing-contracting/
chat.openai.com,1,http://chat.openai.com/g/g-C1fuXSdT4-ai-assessment-
linkedin.com,1,https://www.linkedin.com/jobs/view/3917549370
opusphysio.com,1,http://www.opusphysio.com/
irenediamond.com,1,https://www.irenediamond.com/are-you-an-really-ic-or-employee
canva.com,1,https://www.canva.com/print/promotional-products/
moo.com,1,https://www.moo.com/us/
cdc.gov,1,https://www.cdc.gov/steadi/pdf/STEADI-Brochure-StayIndependent-508.pdf
genworth.com,1,https://www.genworth.com/
boiefiling.fincen.gov,1,https://boiefiling.fincen.gov/
knowledgebase.constantcontact.com,1,https://knowledgebase.constantcontact.com/email-digital-marketing/articles/KnowledgeBase/7644-What-is-DMARC?lang=en_US
intricateartseminars.com,1,https://intricateartseminars.com
acrossthecontinuum.com,1,https://acrossthecontinuum.com/continuing-education-evidence-based-practice/
fincen.gov,1,https://www.fincen.gov/boi
webpt.com,1,https://www.webpt.com/blog/how-to-document-and-bill-for-home-based-outpatient-pt-services
public.leginfo.state.ny.us,1,https://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=%24%24BSC1503%24%24%40TXBSC01503+&LIST=LAW+&BROWSER=EXPLORER+&TOKEN=27738319+&TARGET=VIEW
massgeneral.org,1,https://www.massgeneral.org/assets/mgh/pdf/orthopaedics/sports-medicine/physical-therapy/mass-general-interval-throwing-program-for-little-league.pdf
ppsimpact.org,1,https://www.ppsimpact.org/apples-to-oranges-lease-or-buy/
competeeveryday.com,1,https://www.competeeveryday.com/collections/preorders/products/preorder-uncaged-collab
urldefense.com,1,https://urldefense.com/v3/__https:/explore.sxsw.com/e3t/Ctc/OL*113/c3yrK04/VW1zxV8mLJPBW7BPZKw3cf62YW5l3Nw351ZSRQN1vWRr-3qgyTW6N1vHY6lZ3mKVd3yLH1c212DW8D0PJ_1VpbsKW5WY50V6w-J5ZW56P3Gf91LnWDW3J15Zp3y0fhBN2ST7JVPvdkxV8MLbr11gg98W2x4wh23wFZydW267tWS5TTvywW48dD8y1GKlg5W8xZ6SY3VPhqmW4P8GQH6fMbXBW8G-KTk6B62jyW8sy6BB7D2LZ0W7Yy8YD87Gtj9W1FVgPN65CdsDW4R_mLP3YH7YtW4hRHCZ4tG1lcW2X1-2l5YT6dCW7WRcLF1BcZstW6BqyGf3QW1wPW3f5_bn1ssNLBf5HJx6-04__
forbes.com,1,https://www.forbes.com/sites/richardnieva/2023/07/24/cigna-sued-over-algorithm-allegedly-used-to-deny-coverage-to-hundreds-of-thousands-of-patients/?sh=5c6394714b14
sarahealth.io,1,https://www.sarahealth.io/
brooksrunning.com,1,https://www.brooksrunning.com/en_us/sports-medicine-program/
ptcompact.org,1,https://ptcompact.org/How-to-Get-Privileges
ow.ly,1,http://ow.ly/ppgv50O5PlE
primeptnepa.com,1,https://www.primeptnepa.com/
surveymonkey.com,1,https://www.surveymonkey.com/r/2TYD3GC
tiktok.com,1,https://www.tiktok.com/@tulsides1?_t=8aVGshnlrhr&_r=1
citypt.com,1,https://www.citypt.com/profile/thomas-olesko/
dir.ca.gov,1,https://www.dir.ca.gov/dlse/faq_independentcontractor.htm
secure.ssa.gov,1,https://secure.ssa.gov/apps10/poms/images/SSA4/G-SSA-4734-U8-1.pdf
nchpad.org,1,http://nchpad.org/
apnews.com,1,https://apnews.com/article/biden-technology-politics-business-9fb699837e8bf8ecd9c70dcf27699dcf
relayfi.com,1,https://relayfi.com/
movement-x.com,1,https://movement-x.com/careers/
moneymobilizer.com,1,https://moneymobilizer.com/choosing-the-best-pt-ot-malpractice-insurance-for-you/
medpagetoday.com,1,https://www.medpagetoday.com/special-reports/features/101767
hhs.gov,1,https://www.hhs.gov/hipaa/for-professionals/privacy/guidance/business-associates/index.html
nognstudio.com,1,https://www.nognstudio.com/blog/why-seo-is-important-for-businesses
nam12.safelinks.protection.outlook.com,1,https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Fus02web.zoom.us%2Fj%2F86326394586%3Fpwd%3DZVJ1OXdOUkZ5aGlyTzBLVjUrNXUyZz09&data=05%7C01%7C%7Cba0be90fd4594111994308daaeb98332%7C84df9e7fe9f640afb435aaaaaaaaaaaa%7C1%7C0%7C638014409038227793%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=gaE19BzrnonaBFpI43pQuwFOgp8A%2FXAV9y8SogEFtbc%3D&reserved=0
judgify.me,1,https://www.judgify.me/public-voting/BKUWomenBusinessChallengeVote?lan=en
aptageriatrics.org,1,https://aptageriatrics.org/events/courses/balance-fall-prevention-course/
onpointmvp.com,1,https://www.onpointmvp.com/concierge-mobile-therapy
chicago.gov,1,https://www.chicago.gov/city/en/depts/bacp/provdrs/business_support_tools/svcs/workshopsandwebinars.html
provwellpt.com,1,https://www.provwellpt.com/services
publications.tnsosfiles.com,1,https://publications.tnsosfiles.com/rules/1150/1150-01.20180709.pdf
betterperformancept.com,1,https://www.betterperformancept.com
