source_type,thread_id,comment_id,createdAt_iso,url,matched_text,amount_values,context_tags,text_snippet
thread,thread_1912904286147461,,2025-12-02T14:12:00Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1912904286147461/,$65,65.0,hour,Interested in working at the top level of our profession in an outpatient orthopedic group? We are once again looking to add a Physical Therapist to our growing hub in Detroit/Grosse Pointe areas. ...
thread,thread_1912904286147461,,2025-12-02T14:12:00Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1912904286147461/,$60-$65,60.0|65.0,hour,Interested in working at the top level of our profession in an outpatient orthopedic group? We are once again looking to add a Physical Therapist to our growing hub in Detroit/Grosse Pointe areas. ...
thread,thread_1912904286147461,,2025-12-02T14:12:00Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1912904286147461/,65 per hour,65.0,hour,Interested in working at the top level of our profession in an outpatient orthopedic group? We are once again looking to add a Physical Therapist to our growing hub in Detroit/Grosse Pointe areas. ...
comment,thread_1910992976338592,comment_1915400169231206,2025-12-05T18:04:39Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1910992976338592/?comment_id=1915400169231206,$225,225.0,eval,A friend used VALD and says their normative data is invaluable to him. He charged $225 for a force plate and VALD assessment and then shows sport athletes how their numbers compare to NFL players a...
comment,thread_1910114183093138,comment_1910613949709828,2025-11-29T14:58:08Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1910114183093138/?comment_id=1910613949709828,$18,18.0,,I bought custom notecards on VistaPrint yesterday. Got 100 for $18
thread,thread_1906943853410171,,2025-11-28T15:58:47Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1906943853410171/,$90,90.0,,"Hello everyone, hope all is well! I just wanted to post this out here on our alumni page. If there is candidate who may be interested please email us at **info@pinnaclemp.com**: Job Opportunity: Ph..."
thread,thread_1906943853410171,,2025-11-28T15:58:47Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1906943853410171/,$105,105.0,,"Hello everyone, hope all is well! I just wanted to post this out here on our alumni page. If there is candidate who may be interested please email us at **info@pinnaclemp.com**: Job Opportunity: Ph..."
thread,thread_1906866496751240,,2025-11-24T22:10:43Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1906866496751240/,$750,750.0,,# **GET THAT LAST THING DONE IN 2025!** This is the LAST WEEK of our limited BLACK FRIDAY DISCOUNT on our *6-Week Push* where we help you get *that thing* done! Only a few spots remain to get the e...
thread,thread_1906866496751240,,2025-11-24T22:10:43Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1906866496751240/,$2,2.0,,# **GET THAT LAST THING DONE IN 2025!** This is the LAST WEEK of our limited BLACK FRIDAY DISCOUNT on our *6-Week Push* where we help you get *that thing* done! Only a few spots remain to get the e...
thread,thread_1905343593570197,,2025-11-23T02:26:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1905343593570197/,$70,70.0,hour,"If you’re wondering about your value and how much to charge, in my community people charge $70/hr or $350-$500 to set up and decorate a Christmas tree with client-provided ornaments. We have to kno..."
thread,thread_1905343593570197,,2025-11-23T02:26:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1905343593570197/,$350,350.0,hour,"If you’re wondering about your value and how much to charge, in my community people charge $70/hr or $350-$500 to set up and decorate a Christmas tree with client-provided ornaments. We have to kno..."
thread,thread_1905343593570197,,2025-11-23T02:26:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1905343593570197/,$500,500.0,hour,"If you’re wondering about your value and how much to charge, in my community people charge $70/hr or $350-$500 to set up and decorate a Christmas tree with client-provided ornaments. We have to kno..."
thread,thread_1905343593570197,,2025-11-23T02:26:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1905343593570197/,$350-$500,350.0|500.0,hour,"If you’re wondering about your value and how much to charge, in my community people charge $70/hr or $350-$500 to set up and decorate a Christmas tree with client-provided ornaments. We have to kno..."
thread,thread_1905343593570197,,2025-11-23T02:26:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1905343593570197/,70/hr,70.0,hour,"If you’re wondering about your value and how much to charge, in my community people charge $70/hr or $350-$500 to set up and decorate a Christmas tree with client-provided ornaments. We have to kno..."
comment,thread_1905015856936304,comment_1905126440258579,2025-11-22T18:51:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1905015856936304/?comment_id=1905126440258579,80 to 150,80.0|150.0,,Depends on the CPT codes and how many units you bill. Average between 80 to 150. Good luck !
comment,thread_1903471630424060,comment_1903475913756965,2025-11-20T20:56:27Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1903471630424060/?comment_id=1903475913756965,$220,220.0,session,"I used to make about $220 a visit for work comp. The biggest thing to make sure is that you have preauth. Do NOT take someone’s word that it is covered. Usually, they would approve the eval and the..."
comment,thread_1902474493857107,comment_1902484273856129,2025-11-19T15:57:39Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1902474493857107/?comment_id=1902484273856129,$650,650.0,,"I think I just googled my town and small office space when I started. My first office was 100 sq ft, then I grew to 200 and now I’m just shy of 300 :) I currently pay $650/month, it’s all inclusive..."
thread,thread_1902025070568716,,2025-11-19T02:36:10Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1902025070568716/,$100,100.0,hour,"I’d love to hear any ideas for Christmas gifts for PTs on your team! (I have one PT who works a few hours a week, and would like to spend around $100). Because of other time commitments, a nice din..."
thread,thread_1899410354163521,,2025-11-15T20:38:35Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1899410354163521/,$90,90.0,session|hour,"Looking to find a PT in or near Temecula and San Diego, CA to help see some of our private pay patients for my mobile practice. Let me know if you or anyone would like more info! Pay $90-100/ hour ..."
thread,thread_1899410354163521,,2025-11-15T20:38:35Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1899410354163521/,$90-100,90.0|100.0,session|hour,"Looking to find a PT in or near Temecula and San Diego, CA to help see some of our private pay patients for my mobile practice. Let me know if you or anyone would like more info! Pay $90-100/ hour ..."
thread,thread_1892162418221648,,2025-11-07T23:07:20Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1892162418221648/,$10,10.0,,"**ALL TOGETHER NOW:** ""*AW RITE! AW RITE! AW RITE!""* It's Friday, which means you people are KICKING IT UP A NOTCH! Howie Barrett, way to be obedient and serve, my dude. Not only did this man raise..."
comment,thread_1891188488319041,comment_1892753904829166,2025-11-08T08:12:03Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1891188488319041/?comment_id=1892753904829166,$50,50.0,,I had this same question. I posted somewhere else but didn’t get a response. I got a quote from Proliability for a lot less than HPSO but wondered about people’s experience with them. HPSO went up ...
thread,thread_1890591735045383,,2025-11-06T00:34:10Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1890591735045383/,$10,10.0,,Recommendations for fav modalities for mobile practice. We had an H wave that broke recently and trying to decide if we replace it or get something else. Want to stay below $10k. Thanks!
comment,thread_1888440311927192,comment_1888489541922269,2025-11-03T22:53:54Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1888440311927192/?comment_id=1888489541922269,$150,150.0,session,It's hard to do monthly like PCPs do unless you are offering wellness and prevention or you limit it to 3 months or so. Your also have take sure you aren't doing 8 visits a month for the rate a PCP...
comment,thread_1888440311927192,comment_1888489541922269,2025-11-03T22:53:54Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1888440311927192/?comment_id=1888489541922269,$200,200.0,session,It's hard to do monthly like PCPs do unless you are offering wellness and prevention or you limit it to 3 months or so. Your also have take sure you aren't doing 8 visits a month for the rate a PCP...
comment,thread_1888440311927192,comment_1888489541922269,2025-11-03T22:53:54Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1888440311927192/?comment_id=1888489541922269,$150-$200,150.0|200.0,session,It's hard to do monthly like PCPs do unless you are offering wellness and prevention or you limit it to 3 months or so. Your also have take sure you aren't doing 8 visits a month for the rate a PCP...
thread,thread_1886649682106255,,2025-11-01T22:01:01Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1886649682106255/,$800,800.0,,"Has anyone had luck advertising in a neighborhood magazine? it is about $800 per month with 1 year commitment. It’s my target audience, and right by my clinic, but I hate that 1 year! They won’t ne..."
thread,thread_1883890799048810,,2025-10-29T18:20:25Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1883890799048810/,$500,500.0,,"My city's chamber of commerce is hosting a senior expo. The organizer estimates about about 500 people attended in prior years, and there are 80 vendors. Seems like an ideal space to market, howeve..."
comment,thread_1880171409420749,comment_1880654669372423,2025-10-26T04:34:40Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1880171409420749/?comment_id=1880654669372423,$50,50.0,,"We send a handwritten thank you note and $50 Amazon gift card for word of mouth referrals (for non-healthcare providers - if it’s another professional we send them a handwritten note only, no gifts..."
thread,thread_1877505603020663,,2025-10-22T19:48:11Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1877505603020663/,$60,60.0,,"My free ride on Healthie EMR has come to an end and it's time to start paying a monthly fee. I was considering Jane when I first started, but then the free Healthie account with limited clients was..."
comment,thread_1877358229702067,comment_1877797896324767,2025-10-23T04:19:02Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1877358229702067/?comment_id=1877797896324767,$10,10.0,,"I know you are happy taking 70%, but want to throw out some numbers for you to think about. If you make $10,000 a month, you owe the gym owner $3000 which is a lot of money for your rent set up. Yo..."
comment,thread_1877358229702067,comment_1877797896324767,2025-10-23T04:19:02Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1877358229702067/?comment_id=1877797896324767,$3000,3000.0,,"I know you are happy taking 70%, but want to throw out some numbers for you to think about. If you make $10,000 a month, you owe the gym owner $3000 which is a lot of money for your rent set up. Yo..."
comment,thread_1877358229702067,comment_1877797896324767,2025-10-23T04:19:02Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1877358229702067/?comment_id=1877797896324767,$7000,7000.0,,"I know you are happy taking 70%, but want to throw out some numbers for you to think about. If you make $10,000 a month, you owe the gym owner $3000 which is a lot of money for your rent set up. Yo..."
comment,thread_1877358229702067,comment_1877797896324767,2025-10-23T04:19:02Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1877358229702067/?comment_id=1877797896324767,$7000,7000.0,,"I know you are happy taking 70%, but want to throw out some numbers for you to think about. If you make $10,000 a month, you owe the gym owner $3000 which is a lot of money for your rent set up. Yo..."
comment,thread_1876504166454140,comment_1876527103118513,2025-10-21T16:47:03Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1876504166454140/?comment_id=1876527103118513,4 to 6 ,4.0|6.0,,Work PRN for a couple home health agencies and transition the patients. You would get a full caseload within about 4 to 6 weeks.
thread,thread_1871974390240451,,2025-10-16T16:36:17Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1871974390240451/,$900,900.0,session|hour,"Just broke our all-time record for most revenue for a single appointment! $900, which includes one hour appointment and 2 Hours drive time."
comment,thread_1871838840254006,comment_1872017680236122,2025-10-16T17:40:25Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1871838840254006/?comment_id=1872017680236122,$1000,1000.0,,"I would start with offering supplemental benefits, like accident/injury, hospitalization, short-term disability, major life event. The two big companies that handle this are AFLAC and Unum. I am pe..."
thread,thread_1870275557077001,,2025-10-14T18:43:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1870275557077001/,$1,1.0,,"🚨 The Clock Is Ticking – $1,000 OFF UNCAGED UNIVERSITY! We’re down to the last few spots to get our discount in Uncaged University Term 1 - this is your chance to lock in the $1,000 discount before..."
thread,thread_1870275557077001,,2025-10-14T18:43:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1870275557077001/,$1,1.0,,"🚨 The Clock Is Ticking – $1,000 OFF UNCAGED UNIVERSITY! We’re down to the last few spots to get our discount in Uncaged University Term 1 - this is your chance to lock in the $1,000 discount before..."
thread,thread_1870275557077001,,2025-10-14T18:43:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1870275557077001/,$1,1.0,,"🚨 The Clock Is Ticking – $1,000 OFF UNCAGED UNIVERSITY! We’re down to the last few spots to get our discount in Uncaged University Term 1 - this is your chance to lock in the $1,000 discount before..."
thread,thread_1864481450989745,,2025-10-08T20:14:35Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1864481450989745/,$20,20.0,,How are we dealing with people complaining about having to have a CC on file? We’ve been recently having patients sign a credit card authorization form to keep on file for late cancellation fees an...
comment,thread_1864481450989745,comment_1864518977652659,2025-10-08T21:17:35Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1864481450989745/?comment_id=1864518977652659,$100,100.0,session,"If they have a large deductibles, charge them by the visit. If they’re in network insurance, a good role of thumb is it at least $100 a visit. They’re not willing to pay that then they don’t value ..."
thread,thread_1863210521116838,,2025-10-07T14:21:41Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1863210521116838/,$45,45.0,eval|hour,"Patient is fully aware of her $45 copay. Go out to her home, spend an hour to eval, provide HEP, great session. Patient says “oh I wish I started my hand therapy with you, you’re fabulous “ blah bl..."
thread,thread_1862341667870390,,2025-10-06T16:41:43Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1862341667870390/,$1000,1000.0,,**ARE YOU READY TO START YOUR OWN PRACTICE?** We are now fresh into the 4th Quarter. There is still time to make good traction towards your goal of building your dream! Our new ***UNCAGED UNIVERSIT...
thread,thread_1851125685658655,,2025-09-24T14:32:40Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1851125685658655/,$1,1.0,,"What happens when your best skills meet the *right* patients? 💡 In our latest episode of **The Uncaged Clinician Podcast**, host David Bayliff sits down with Dr. Scott Dixon — founder of Athletic D..."
thread,thread_1849491365822087,,2025-09-22T17:56:44Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1849491365822087/,$1,1.0,,"🚨 **The Clock Is Ticking – $1,000 OFF UNCAGED UNIVERSITY!** We’re down to the **last few spots to get our discount** in **Uncaged University Term 1** - this is your chance to lock in the **$1,000 d..."
thread,thread_1849491365822087,,2025-09-22T17:56:44Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1849491365822087/,$1,1.0,,"🚨 **The Clock Is Ticking – $1,000 OFF UNCAGED UNIVERSITY!** We’re down to the **last few spots to get our discount** in **Uncaged University Term 1** - this is your chance to lock in the **$1,000 d..."
thread,thread_1849491365822087,,2025-09-22T17:56:44Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1849491365822087/,$1,1.0,,"🚨 **The Clock Is Ticking – $1,000 OFF UNCAGED UNIVERSITY!** We’re down to the **last few spots to get our discount** in **Uncaged University Term 1** - this is your chance to lock in the **$1,000 d..."
comment,thread_1846097396161484,comment_1846646719439885,2025-09-19T14:42:22Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1846097396161484/?comment_id=1846646719439885,45 to 60 ,45.0|60.0,session,"Totally can wait. Not worth the expense, space or upkeep in my opinion -especially if just starting out. Can you do the Medibeads that can be heated in a microwave or an electric hot pack like the ..."
thread,thread_1844847902953100,,2025-09-17T13:30:51Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1844847902953100/,$1,1.0,,"🎉 **400 EPISODES!** 🎉 What would your life and business look like if your actions perfectly aligned with your values? For our 400th episode of the Uncaged Clinician Podcast, **David Bayliff** is jo..."
comment,thread_1841612319943325,comment_1841625713275319,2025-09-13T19:45:06Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1841612319943325/?comment_id=1841625713275319,$10,10.0,,"Call the auto insurance, speak to the person handling your patients case. Find out if the PIP policy (personal injury policy) is exhausted or if there’s still money in it. Typically it is $10,000 a..."
thread,thread_1839851473452743,,2025-09-11T17:37:45Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1839851473452743/,$4,4.0,hour,"**🚨 NeuPT HRV Device For Sale – Excellent Condition! 🚨** I’m transitioning career paths and looking to find a new home for my NeuPT HRV device. This is an incredible tool for anyone in rehab, perfo..."
thread,thread_1839851473452743,,2025-09-11T17:37:45Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1839851473452743/,$6,6.0,hour,"**🚨 NeuPT HRV Device For Sale – Excellent Condition! 🚨** I’m transitioning career paths and looking to find a new home for my NeuPT HRV device. This is an incredible tool for anyone in rehab, perfo..."
